Rank	Team	Ranking Score	Avg Match	Avg Hangar	Avg Taxi + Auto Cargo	Record (W-L-T)	DQ	Played	Total Ranking Points*
14	2849	1.1	36.7	11.3	14.4	4-6-2000	0	10	11
15	5587	1	42.5	11.9	11	4-6-2000	0	10	10
16	8197	1	33.8	12.1	9.8	3-5-2001	1	10	10
17	4464	0.7	27.5	8.6	8.6	2-8-2000	0	10	7
18	7886	0.7	24.9	11.1	7.2	2-8-2000	0	10	7
1	623	2.6	60	20.5	17.2	36740	0	10	26
2	7770	2.4	52.4	21.9	11.2	37074	0	10	24
3	5804	2.3	57.7	21.7	16.2	37074	0	10	23
4	1719	1.9	45.5	14.4	12.4	36710	0	10	19
5	5724	1.8	52.5	13.9	15	37045	0	10	18
6	4638	1.8	44.8	15.2	14	36681	0	10	18
7	8230	1.6	45	10.9	13.6	37015	0	10	16
8	2421	1.5	46.2	19.7	8.6	36622	0	10	15
9	1915	1.4	43.9	14.4	8.6	4-5-2001	0	10	14
10	1895	1.3	44.4	12.8	12.4	4-6-2000	0	10	13
11	2186	1.3	41.2	12.4	13.6	4-6-2000	0	10	13
12	2537	1.1	43.4	17.4	10.2	3-7-2000	0	10	11
13	6213	1.1	36.1	12.8	9	4-6-2000	0	10	11
14	5115	1	44.4	13.3	11.2	2-8-2000	0	10	10
15	8590	1	41	13.2	13.4	3-6-2001	0	10	10
16	4505	1	37.5	11.9	10.2	3-6-2000	1	10	10
1	2363	3.5	88.2	13.1	24.6	10-0-0	0	10	35
2	1262	2.5	68.3	14.5	18.4	36710	0	10	25
3	384	2.5	67.8	15.2	18.8	36710	0	10	25
4	3136	2.4	64	13.4	16.6	36710	0	10	24
5	3361	2	54.6	11	15.4	36681	0	10	20
6	122	1.8	58	11.3	15.4	36651	0	10	18
7	3939	1.8	56.9	14.2	16	36651	0	10	18
8	4286	1.8	51.1	11	13.2	36681	0	10	18
9	346	1.8	50.5	18.2	12.6	5-5-2000	0	10	18
10	619	1.5	51.9	12.1	13.6	5-5-2000	0	10	15
11	1793	1.4	50.8	11.9	14.6	4-6-2000	0	10	14
12	6189	1.3	45.1	11.4	12.4	4-6-2000	0	10	13
13	539	1.3	40.2	7.5	11.2	4-6-2000	0	10	13
14	2890	1.2	43.2	9	14.2	4-6-2000	0	10	12
15	2998	1	37.8	10.8	9.6	3-7-2000	0	10	10
16	2028	0.8	46.2	13.7	12.8	1-9-2000	0	10	8
17	617	0.8	41.9	7.5	13.8	2-8-2000	0	10	8
1	401	3.3	70.5	21.8	17.4	10-0-0	0	10	33
2	2363	3.2	85.9	14.1	23.2	37104	0	10	32
3	1610	2.7	62.5	13.7	17.2	37045	0	10	27
4	1599	2.7	62.3	18.9	14.8	36740	0	10	27
5	1908	2.5	69.8	13.5	17.2	36681	0	10	25
6	3373	2.4	56.2	22.6	13	36681	0	10	24
7	1086	2.2	66.5	14.6	17.8	37045	0	10	22
8	422	2.1	60.4	19.8	13.8	37015	0	10	21
9	3274	1.9	55.4	18.6	14.2	5-5-2000	0	10	19
10	2106	1.7	54.3	19	14	4-6-2000	0	10	17
11	5546	1.5	39.9	9.8	11	5-5-2000	0	10	15
12	7429	1.3	54.1	11.1	15.2	3-7-2000	0	10	13
13	977	1.3	51.1	16.4	16	2-7-2001	0	10	13
14	6863	1.1	45.5	11	11.8	3-7-2000	0	10	11
15	540	1.1	44.9	12.8	11.8	4-6-2000	0	10	11
16	5954	1.1	42.9	12.1	9.4	3-7-2000	0	10	11
17	1793	1	40.9	11.3	12.2	3-7-2000	0	10	10
18	6882	1	39	8.9	12.2	2-7-2001	0	10	10
19	6189	1	34.5	10.8	8.8	3-7-2000	0	10	10
